platform,category,action,represented_sors,action_numerator,action_prevalence,category_share,sparse_flag
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,CONTENT_AGE_RESTRICTED,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,CONTENT_INTERACTION_RESTRICTED,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,CONTENT_LABELLED,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,PROVISION_PARTIAL_SUSPENSION,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,PROVISION_PARTIAL_TERMINATION,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,PROVISION_TOTAL_SUSPENSION,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,PROVISION_TOTAL_TERMINATION,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,MONETARY_TERMINATION,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,MONETARY_SUSPENSION,618295,0,0.0,0.0066658,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,CONTENT_REMOVED,349957,322634,0.92192469,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,ACCOUNT_TERMINATED,349957,27323,0.07807531,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,VISIBILITY_OTHER,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,CONTENT_DISABLED,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,CONTENT_AGE_RESTRICTED,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,CONTENT_DEMOTED,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,CONTENT_INTERACTION_RESTRICTED,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,CONTENT_LABELLED,349957,0,0.0,0.00377287,False
Instagram,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,ACCOUNT_SUSPENDED,349957,0,0.0,0.00377287,False
